# step = 12000, time = 0.12, G_eff = 5000
# x  rho  phase  re  im  V
0.618164  1.49145  0.698346  0.935364  0.785205  -0.0261459
0.620117  1.45434  0.70406  0.919206  0.780638  -0.0256797
0.62207  1.41828  0.709791  0.903307  0.77609  -0.0252117
0.624023  1.38326  0.715536  0.887668  0.771562  -0.0247421
0.625977  1.34927  0.721294  0.872291  0.767057  -0.0242711
0.62793  1.31628  0.727061  0.857176  0.762578  -0.0237988
0.629883  1.28426  0.732837  0.842324  0.758126  -0.0233252
0.631836  1.25321  0.73862  0.827734  0.753703  -0.0228506
0.633789  1.2231  0.744408  0.813404  0.749313  -0.022375
0.635742  1.19389  0.750201  0.799333  0.744956  -0.0218985
0.637695  1.16558  0.755998  0.785518  0.740635  -0.0214213
0.639648  1.13813  0.761797  0.771955  0.736352  -0.0209435
0.641602  1.11152  0.7676  0.758642  0.732107  -0.0204652
0.643555  1.08572  0.773407  0.745574  0.727903  -0.0199864
0.645508  1.06072  0.779216  0.732745  0.723742  -0.0195073
0.647461  1.03648  0.785031  0.720152  0.719623  -0.019028
0.649414  1.01298  0.790851  0.707789  0.71555  -0.0185485
0.651367  0.990192  0.796678  0.695649  0.711522  -0.018069
0.65332  0.968098  0.802513  0.683728  0.707541  -0.0175895
0.655273  0.946672  0.808358  0.672018  0.703608  -0.0171102
0.657227  0.92589  0.814216  0.660513  0.699723  -0.0166311
0.65918  0.905729  0.820088  0.649207  0.695887  -0.0161522
0.661133  0.886166  0.825977  0.638093  0.692101  -0.0156737
0.663086  0.86718  0.831886  0.627164  0.688364  -0.0151956
0.665039  0.848749  0.837818  0.616413  0.684678  -0.0147181
0.666992  0.830853  0.843776  0.605833  0.681043  -0.0142411
0.668945  0.81347  0.849763  0.595417  0.677458  -0.0137648
0.670898  0.796583  0.855782  0.585158  0.673924  -0.0132891
0.672852  0.780172  0.861838  0.575049  0.67044  -0.0128143
0.674805  0.764218  0.867934  0.565084  0.667007  -0.0123403
0.676758  0.748706  0.874074  0.555255  0.663625  -0.0118672
0.678711  0.733617  0.880262  0.545556  0.660292  -0.011395
0.680664  0.718936  0.886502  0.535981  0.657009  -0.0109239
0.682617  0.704648  0.892797  0.526523  0.653775  -0.0104539
0.68457  0.690738  0.899152  0.517176  0.65059  -0.00998492
0.686523  0.677192  0.905571  0.507934  0.647453  -0.00951718
0.688477  0.663997  0.912058  0.498792  0.644363  -0.00905066
0.69043  0.65114  0.918618  0.489743  0.641321  -0.00858542
0.692383  0.63861  0.925254  0.480782  0.638324  -0.00812152
0.694336  0.626394  0.93197  0.471905  0.635374  -0.007659
0.696289  0.614484  0.938771  0.463107  0.632468  -0.0071979
0.698242  0.602867  0.94566  0.454382  0.629607  -0.00673827
0.700195  0.591536  0.952642  0.445726  0.626789  -0.00628015
0.702148  0.58048  0.959719  0.437136  0.624013  -0.0058236
0.704102  0.569692  0.966897  0.428606  0.62128  -0.00536864
0.706055  0.559164  0.974178  0.420135  0.618587  -0.00491533
0.708008  0.548888  0.981566  0.411717  0.615936  -0.0044637
0.709961  0.538857  0.989064  0.40335  0.613323  -0.00401379
0.711914  0.529065  0.996675  0.395032  0.61075  -0.00356564
0.713867  0.519506  1.0044  0.386758  0.608214  -0.00311929
0.71582  0.510175  1.01225  0.378527  0.605716  -0.00267477
0.717773  0.501065  1.02022  0.370337  0.603254  -0.00223211
0.719727  0.492173  1.02831  0.362185  0.600829  -0.00179137
0.72168  0.483493  1.03653  0.35407  0.598438  -0.00135255
0.723633  0.475021  1.04488  0.345989  0.596081  -0.000915712
0.725586  0.466754  1.05336  0.337942  0.593759  -0.000480874
0.727539  0.458687  1.06198  0.329928  0.591469  -4.80696e-05
0.729492  0.450818  1.07072  0.321945  0.589211  0.00038267
0.731445  0.443142  1.0796  0.313992  0.586984  0.000811314
0.733398  0.435656  1.08862  0.30607  0.584789  0.00123783
0.735352  0.428359  1.09777  0.298177  0.582623  0.0016622
0.737305  0.421246  1.10705  0.290313  0.580486  0.00208439
0.739258  0.414316  1.11647  0.282478  0.578379  0.00250436
0.741211  0.407565  1.12603  0.274673  0.576298  0.00292211
0.743164  0.400991  1.13572  0.266896  0.574245  0.00333759
0.745117  0.394592  1.14554  0.25915  0.572218  0.00375079
0.74707  0.388365  1.1555  0.251433  0.570216  0.00416168
0.749023  0.382309  1.16558  0.243748  0.568239  0.00457024
0.750977  0.37642  1.17579  0.236093  0.566286  0.00497644
0.75293  0.370696  1.18613  0.228472  0.564355  0.00538026
0.754883  0.365135  1.19658  0.220883  0.562446  0.00578168
0.756836  0.359734  1.20715  0.213329  0.560557  0.00618068
0.758789  0.354491  1.21784  0.205811  0.558689  0.00657723
0.760742  0.349404  1.22863  0.19833  0.556838  0.00697132
0.762695  0.344469  1.23953  0.190887  0.555006  0.00736293
0.764648  0.339684  1.25053  0.183484  0.553189  0.00775204
0.766602  0.335046  1.26162  0.176122  0.551387  0.00813863
0.768555  0.330552  1.2728  0.168804  0.549598  0.00852269
0.770508  0.3262  1.28406  0.16153  0.547821  0.00890419
0.772461  0.321985  1.2954  0.154303  0.546054  0.00928312
0.774414  0.317904  1.3068  0.147125  0.544296  0.00965946
0.776367  0.313954  1.31827  0.139998  0.542545  0.0100332
0.77832  0.310132  1.32978  0.132923  0.540799  0.0104043
0.780273  0.306432  1.34135  0.125902  0.539056  0.0107728
0.782227  0.302852  1.35295  0.118939  0.537314  0.0111387
0.78418  0.299388  1.36458  0.112034  0.535571  0.0115018
0.786133  0.296033  1.37624  0.10519  0.533824  0.0118624
0.788086  0.292785  1.38791  0.0984104  0.532072  0.0122202
0.790039  0.289639  1.39958  0.0916959  0.530312  0.0125753
0.791992  0.286589  1.41125  0.0850494  0.528541  0.0129277
0.793945  0.283631  1.42291  0.0784731  0.526757  0.0132774
0.795898  0.28076  1.43455  0.0719693  0.524957  0.0136244
0.797852  0.277969  1.44616  0.0655404  0.523138  0.0139686
0.799805  0.275255  1.45774  0.0591888  0.521298  0.0143101
0.801758  0.27261  1.46927  0.0529166  0.519432  0.0146488
0.803711  0.27003  1.48075  0.0467263  0.517539  0.0149847
0.805664  0.267508  1.49218  0.0406201  0.515614  0.0153178
0.807617  0.265038  1.50354  0.0346002  0.513655  0.0156482
0.80957  0.262616  1.51482  0.028669  0.511658  0.0159757
0.811523  0.260233  1.52603  0.0228286  0.50962  0.0163005
0.813477  0.257885  1.53715  0.0170811  0.507537  0.0166224
0.81543  0.255565  1.54819  0.0114286  0.505405  0.0169414
0.817383  0.253267  1.55913  0.00587329  0.503222  0.0172577
0.819336  0.250985  1.56996  0.00041704  0.500983  0.017571
0.821289  0.248712  1.5807  -0.0049382  0.498686  0.0178816
0.823242  0.246442  1.59133  -0.0101906  0.496325  0.0181892
0.825195  0.24417  1.60184  -0.0153384  0.493898  0.018494
0.827148  0.24189  1.61225  -0.0203799  0.491401  0.0187959
0.829102  0.239596  1.62253  -0.0253135  0.48883  0.0190949
0.831055  0.237281  1.63271  -0.0301377  0.486182  0.019391
0.833008  0.234941  1.64276  -0.0348511  0.483453  0.0196842
0.834961  0.232571  1.6527  -0.0394525  0.48064  0.0199745
