# step = 360, a = 0.674906, z = 0.481689
# x  y  rho  log2rho
0.132812  0.148438  1.11347  0.748332
0.132812  0.164062  0.955026  0.670404
0.132812  0.179688  0.960578  0.673239
0.132812  0.195312  0.943376  0.664427
0.132812  0.210938  0.92776  0.656358
0.132812  0.226562  0.932465  0.658797
0.132812  0.242188  0.949439  0.667542
0.132812  0.257812  0.822765  0.600355
0.132812  0.273438  0.818289  0.597896
0.132812  0.289062  0.815716  0.59648
0.132812  0.304688  0.928639  0.656814
0.132812  0.320312  3.7133  1.55039
0.132812  0.335938  0.870754  0.626341
0.132812  0.351562  0.699447  0.530303
0.132812  0.367188  0.62947  0.488255
0.132812  0.382812  0.721529  0.543213
0.132812  0.398438  0.915969  0.650223
0.132812  0.414062  1.08417  0.734369
0.132812  0.429688  1.06208  0.723715
0.132812  0.445312  1.07577  0.730332
0.132812  0.460938  1.04271  0.714275
0.132812  0.476562  1.07109  0.728075
0.132812  0.492188  0.967475  0.676751
0.132812  0.507812  0.84425  0.612073
0.132812  0.523438  0.722598  0.543833
0.132812  0.539062  0.704889  0.5335
0.132812  0.554688  0.804093  0.590058
0.132812  0.570312  0.80752  0.591956
0.132812  0.585938  0.907468  0.645777
0.132812  0.601562  0.944354  0.66493
0.132812  0.617188  1.00386  0.695078
0.132812  0.632812  0.93807  0.661693
0.132812  0.648438  0.804092  0.590057
0.132812  0.664062  0.456625  0.376122
0.132812  0.679688  0.354053  0.303103
0.132812  0.695312  0.324351  0.280922
0.132812  0.710938  0.372718  0.316793
0.132812  0.726562  0.385768  0.326254
0.132812  0.742188  0.3803  0.322301
0.132812  0.757812  0.337806  0.291031
0.132812  0.773438  0.309632  0.269746
0.132812  0.789062  0.58232  0.458892
0.132812  0.804688  1.01425  0.700246
0.132812  0.820312  0.758024  0.56419
0.132812  0.835938  0.416117  0.347919
0.132812  0.851562  0.346008  0.297143
0.132812  0.867188  0.461286  0.379317
0.132812  0.882812  0.812814  0.594881
0.132812  0.898438  0.750725  0.56003
0.132812  0.914062  0.671346  0.513629
0.132812  0.929688  0.645369  0.497964
0.132812  0.945312  0.639034  0.494107
0.132812  0.960938  0.692062  0.525948
0.132812  0.976562  0.754704  0.5623
0.132812  0.992188  0.787918  0.581052

0.148438  0.0078125  0.904118  0.644019
