# step = 0, a = 0.0196078, z = 50
# x  y  rho  log2rho
0.148438  0.148438  1.03871  0.712315
0.148438  0.164062  1.02404  0.705095
0.148438  0.179688  1.00453  0.695411
0.148438  0.195312  0.950116  0.667889
0.148438  0.210938  0.955815  0.670807
0.148438  0.226562  0.94585  0.665699
0.148438  0.242188  1.03502  0.710506
0.148438  0.257812  1.04035  0.713121
0.148438  0.273438  1.09221  0.738221
0.148438  0.289062  1.07152  0.728285
0.148438  0.304688  1.09457  0.73935
0.148438  0.320312  1.09375  0.738959
0.148438  0.335938  1.06818  0.726667
0.148438  0.351562  1.07819  0.731496
0.148438  0.367188  0.97116  0.678622
0.148438  0.382812  0.914574  0.649495
0.148438  0.398438  1.05559  0.720562
0.148438  0.414062  1.0914  0.737834
0.148438  0.429688  1.06233  0.723834
0.148438  0.445312  1.10505  0.74434
0.148438  0.460938  1.12422  0.753404
0.148438  0.476562  1.12618  0.754329
0.148438  0.492188  1.13411  0.758048
0.148438  0.507812  1.04973  0.717706
0.148438  0.523438  0.980196  0.683196
0.148438  0.539062  0.946787  0.666181
0.148438  0.554688  1.01096  0.69861
0.148438  0.570312  0.995787  0.691039
0.148438  0.585938  0.959419  0.672648
0.148438  0.601562  0.94986  0.667758
0.148438  0.617188  1.01373  0.699988
0.148438  0.632812  1.01669  0.701456
0.148438  0.648438  0.94793  0.666767
0.148438  0.664062  0.920166  0.652411
0.148438  0.679688  0.929604  0.657315
0.148438  0.695312  0.926897  0.655911
0.148438  0.710938  0.898294  0.640956
0.148438  0.726562  0.969347  0.677702
0.148438  0.742188  0.957261  0.671546
0.148438  0.757812  0.93335  0.659254
0.148438  0.773438  0.971559  0.678825
0.148438  0.789062  1.01169  0.698977
0.148438  0.804688  0.950333  0.668
0.148438  0.820312  0.944018  0.664757
0.148438  0.835938  0.936058  0.660654
0.148438  0.851562  0.869452  0.625645
0.148438  0.867188  0.933793  0.659484
0.148438  0.882812  0.986363  0.686305
0.148438  0.898438  0.965829  0.675914
0.148438  0.914062  0.907367  0.645724
0.148438  0.929688  0.835288  0.607201
0.148438  0.945312  0.854637  0.617689
0.148438  0.960938  0.924958  0.654904
0.148438  0.976562  0.984791  0.685514
0.148438  0.992188  1.00695  0.696617

0.164062  0.0078125  1.07606  0.730471
0.164062  0.0234375  1.09564  0.739861
0.164062  0.0390625  1.14262  0.762031
0.164062  0.0546875  1.11322  0.748215
0.164062  0.0703125  1.12299  0.752826
0.164062  0.0859375  1.07728  0.731061
0.164062  0.101562  1.04998  0.71783
0.164062  0.117188  1.00265  0.694471
0.164062  0.132812  1.01027  0.69827
0.164062  0.148438  0.974389  0.680259
0.164062  0.164062  0.982696  0.684458
0.164062  0.179688  1.02477  0.705457
0.164062  0.195312  1.05171  0.718674
0.164062  0.210938  0.983912  0.685071
0.164062  0.226562  0.955731  0.670764
0.164062  0.242188  1.01425  0.700247
0.164062  0.257812  1.02907  0.70758
0.164062  0.273438  1.04661  0.716184
0.164062  0.289062  1.07293  0.728964
0.164062  0.304688  1.11422  0.748686
0.164062  0.320312  1.13923  0.760448
0.164062  0.335938  1.11998  0.751406
0.164062  0.351562  1.03452  0.710261
0.164062  0.367188  0.985074  0.685656
0.164062  0.382812  0.994731  0.690509
0.164062  0.398438  1.04673  0.716245
0.164062  0.414062  1.08393  0.734256
0.164062  0.429688  1.09258  0.738398
0.164062  0.445312  1.09048  0.737392
